"","CONDITION","SYNDROME","AGERANGE","prev_pop1","prev_pop2","prev_pop3","prev_pop4"
"214","Norovirus","00Asymptomatic","12-23mo",0.127544199710259,0.146714606673746,0.145258319113541,0.100492727450173
"215","Norovirus","00Asymptomatic","24-59mo",0.0861179330405489,0.0999272190618234,0.0988871298801076,0.0671427980760378
"216","Norovirus","00Asymptomatic","99MixedAges",0.0941635560962792,0.112458235248515,0.111078939765322,0.0699610714686066
"217","Norovirus","01CommunityDetected","0-11mo",0.198420187548737,0.225321332514979,0.223039403868487,0.157899468030575
"218","Norovirus","01CommunityDetected","12-23mo",0.190174303344182,0.216135284867186,0.213927470953795,0.151229751686139
"219","Norovirus","01CommunityDetected","99MixedAges",0.143090562167438,0.168877897118932,0.166742262908809,0.107118897250826
"220","Norovirus","02Outpatient","0-11mo",0.156218197465573,0.179243647941318,0.17752922366508,0.122982262764804
"221","Norovirus","02Outpatient","12-23mo",0.149399252187439,0.171520204638226,0.169870044326519,0.117581518360182
"222","Norovirus","02Outpatient","24-59mo",0.101701950798991,0.117915449496261,0.116714844005827,0.079058878026648
"223","Norovirus","02Outpatient","99MixedAges",0.111026639137117,0.132370470483284,0.130785625149189,0.0823331762704992
"224","Norovirus","03Inpatient","0-11mo",0.179268368688011,0.20118463256256,0.199650126050274,0.14164261046099
"225","Norovirus","03Inpatient","12-23mo",0.171647956956874,0.192737784214085,0.191258509875095,0.135549054198166
"226","Norovirus","03Inpatient","24-59mo",0.117831498606164,0.133571045153196,0.132478588997369,0.0917518773668289
"227","Norovirus","03Inpatient","99MixedAges",0.128423624786096,0.149619720637251,0.148131087743261,0.0954973562880274
"228","Norovirus","04Unspecified","0-11mo",0.17095101426597,0.195660669416011,0.194167786621391,0.131939775091678
"229","Norovirus","04Unspecified","12-23mo",0.163613677941483,0.187391340849203,0.185953063595855,0.126202268443438
"230","Norovirus","04Unspecified","24-59mo",0.11197568006661,0.129602359582352,0.128544514230608,0.0851277250627481
"231","Norovirus","04Unspecified","99MixedAges",0.122114280044114,0.145254135009926,0.143809250070653,0.0886291813082485
"232","Rotavirus","00Asymptomatic","0-11mo",0.0469879326866052,0.037751270007997,0.0379584834655622,0.041043439285737
"233","Rotavirus","00Asymptomatic","12-23mo",0.0401509672642663,0.0322699837981666,0.0324486215231359,0.035078170537129
"234","Rotavirus","00Asymptomatic","24-59mo",0.0244663254582992,0.0195664666023614,0.0196722137097821,0.0213950844487056
"235","Rotavirus","00Asymptomatic","99MixedAges",0.0316490955858661,0.0243988411130076,0.0245423871743523,0.0276731133342182
"236","Rotavirus","01CommunityDetected","0-11mo",0.121631151246138,0.098474346359035,0.099084498129639,0.106094504623929
"237","Rotavirus","01CommunityDetected","12-23mo",0.105131368879327,0.0849547925424297,0.0854903551875955,0.091577571556928
"238","Rotavirus","01CommunityDetected","99MixedAges",0.0840752717847146,0.0650974579032181,0.0655356700969282,0.0731495818679207
"239","Rotavirus","02Outpatient","0-11mo",0.189955882961976,0.15837477439728,0.159030590399762,0.172346021931097
"240","Rotavirus","02Outpatient","12-23mo",0.165938542479927,0.137889313516537,0.138476142890105,0.150287969345949
"241","Rotavirus","02Outpatient","24-59mo",0.106571794792885,0.0873607652896777,0.0877378543627783,0.0961422624576936
