"","CONDITION","SYNDROME","AGERANGE","RawPrev","MEPrev","PrevPercentageChange","aOR","aOR_CI_lo","aOR_CI_hi","PAF"
"133","Sapovirus","02Outpatient","12-23mo",0.105225266067546,0.0888303950937035,15.5807360594542,1.19043795119905,0.998465142169928,1.41932097156157,0.0166352650166978
"134","Sapovirus","03Inpatient","12-23mo",0.127735428678348,0.0926127501539006,27.496426706243,1.35205003807824,1.0186587589055,1.79455513388163,0.0315748457726493
"135","Sapovirus","02Outpatient","24-59mo",0.0789827037147595,0.0594586495181835,24.7194047282627,1.31528485929028,1.01391362958372,1.70623434837198,0.0184014507703682
"136","Sapovirus","03Inpatient","24-59mo",0.0498882110503257,0.0620755723508504,-24.429341208949,1.49306937880508,0.978706596807877,2.27775737610871,0.0296985632263737
"137","Shigella","01CommunityDetected","0-11mo",0.101567441196309,0.0881875375163725,13.1734180977107,2.26093217517493,1.6704215962196,3.06019409250337,0.100070782270862
"138","Shigella","02Outpatient","0-11mo",0.103678433409764,0.0827504712362462,20.1854537006793,1.76439191117518,1.30317119620584,2.38884869868523,0.0594907738892921
"139","Shigella","03Inpatient","0-11mo",0.165183397790736,0.0790567958576733,52.1399868782048,2.03147940386378,1.45009897094028,2.84594958759729,0.075397160757607
"140","Shigella","01CommunityDetected","12-23mo",0.297379450583977,0.222814849649101,25.0738915511648,2.57798175993883,1.63138113782933,4.07384258679138,0.260134913478466
"141","Shigella","02Outpatient","12-23mo",0.241496538869644,0.210998264082434,12.6288662065143,2.6296323047826,1.66829726457157,4.14492441197646,0.255869102186196
"142","Shigella","03Inpatient","12-23mo",0.291351244531576,0.202846032739527,30.3774957043153,2.18479105514417,1.3689630797162,3.48680839196008,0.193763057540429
"143","Shigella","02Outpatient","24-59mo",0.344398022385801,0.308113690893912,10.5355806750951,2.57600762498124,1.43543506713206,4.62285995089946,0.326866552060831
"144","Shigella","03Inpatient","24-59mo",0.444896522617751,0.297624652924336,33.1024996165117,2.64868099765755,1.45190784359837,4.83192584039296,0.329168862697899
"145","Vibrio","01CommunityDetected","0-11mo",0.00117399091385637,0.00468949583801499,-299.449074321262,1.08722435947756,0.500602470137451,2.3612684282537,0.000408871026845741
"146","Vibrio","02Outpatient","0-11mo",0.00691699079420059,0.0070382782079987,-1.75347079975586,2.23593890514198,1.22753513444829,4.07273294851514,0.00862386388930737
"147","Vibrio","03Inpatient","0-11mo",0.061416652099932,0.017605234664487,71.3347535846772,4.26160048953029,1.99262488450304,9.11422861051652,0.0543030910665091
"148","Vibrio","01CommunityDetected","12-23mo",0.00304387809877161,0.00571017724950023,-87.5954642140444,2.66104025903559,1.29269964334488,5.47778851542468,0.00939571747429773
"149","Vibrio","02Outpatient","12-23mo",0.00902170464237541,0.00856577881506728,5.0536549951616,4.10082702528298,2.08668878798813,8.05907540601926,0.0258737653998731
"150","Vibrio","03Inpatient","12-23mo",0.0657761851431329,0.0213766853472679,67.5008739093777,8.18543780318429,3.86482866552946,17.3361868864683,0.133149038450292
"151","Vibrio","02Outpatient","24-59mo",0.0135640882880867,0.0192099329215321,-41.623473052768,3.25775977205247,1.53716974879708,6.90424641826878,0.0415685279484315
"152","Vibrio","03Inpatient","24-59mo",0.11590719863156,0.0471825436775701,59.2928271629172,14.5268494358699,6.77978438678791,31.126263387325,0.389585534828784
